Podcast Name,Episode Title,Language,Published Date,Host(s),Guest(s),Main Topic(s),Rating (1-6),Rating Notes,Tags,Platform / Link
The Cognitive Revolution,AI 2025→2026 Live Show Part 1,English,2025-12-18,Nathan Labenz,9 guests,"ARC-AGI, AI companions, continual learning, Gemini, 2026 forecasts",5,Wide-ranging live show with multiple AI experts forecasting 2026 developments,,https://www.cognitiverevolution.ai/ai-2025-2026-live-show-part-1/
Practical AI,AI in 2025 & What's Coming in 2026,English,2026-01-09,"Daniel Whitenack, Chris Benson",,"AI agents, multimodal AI, reasoning models, 2026 outlook",4,Reliable annual outlook episode; practical and accessible,agents,https://practicalai.fm/
Gradient Dissent (W&B),Inside the $41B AI Cloud Challenging Big Tech | CoreWeave SVP,English,2026-01-06,Lukas Biewald,Corey Sanders (SVP CoreWeave),"AI cloud infrastructure, GPU compute, hyperscaler alternatives",4,CoreWeave is a major AI compute player; solid infrastructure perspective,,https://open.spotify.com/show/7o9r3fFig3MhTJwehXDbXm
The Artificial Intelligence Show,Ep 189 – Is Claude AGI? / Nvidia-Groq Deal / Meta Acquires Manus / LeCun Speaks Out,English,2026-01-06,"Paul Roetzer, Mike Kaput",,"AGI debate, Nvidia-Groq deal, Meta Manus acquisition, LeCun",4,"Provides valuable insights into current industry developments, making it accessible and relevant for business audiences.",,https://podcast.smarterx.ai/shownotes/189
AI Forklart,Intro: Ingeniøren / sykepleieren og AI-stemmer,Norwegian,2026-01-08,"Niclas Kvanvig, Celine Haaland-Johansen",,"AI fundamentals, podcast intro, AI voices",4,Introduserer podkasten med AI-grunnleggende — god inngangsport for norske lyttere,,https://podcasts.apple.com/no/podcast/ai-forklart/id1868744798
AI Forklart,Fire AI-råd for bedrifter: 2026-utgaven,Norwegian,2026-01-08,"Niclas Kvanvig, Celine Haaland-Johansen",,"AI i virksomhet, praktiske anbefalinger, AI-strategi 2026",5,Fire konkrete råd for organisasjoner som implementerer AI i 2026 — høy praktisk verdi.,,https://podcasts.apple.com/no/podcast/ai-forklart/id1868744798
AI-Snakk,Ep 33 – Når AI flytter inn i helsa og ut i robotkroppen,Norwegian,2026-01-08,Audun Kvitland Røstad,,"kunstig intelligens i helse, humanoide roboter, AI-applikasjoner",4,"Diskusjonen om hvordan AI påvirker helse og robotikk er svært relevant, med fokus på aktuelle nyheter og utviklinger.",,https://podcasts.apple.com/us/podcast/ai-snakk/id1817215754
TWIML AI Podcast,#760 – Intelligent Robots in 2026: Are We There Yet?,English,2026-01-08,Sam Charrington,Nikita Rudin (CEO Flexion Robotics),"Robot autonomy, reinforcement learning, simulation",5,Expert robotics CEO on state of autonomous robots in 2026,,https://twimlai.com/podcast/twimlai/
AI Forklart,AI-agenter: Hva er det egentlig?,Norwegian,2026-01-13,"Niclas Kvanvig, Celine Haaland-Johansen",,"AI agents, agentic AI, productivity, work automation",5,God og tilgjengelig forklaring på AI-agenter og konsekvenser for arbeidsliv — viktig tema for 2026,agents,https://podcasts.apple.com/no/podcast/ai-forklart/id1868744798
AI-Snakk,Ep 34 – Apple-Google-pakten / kreativ AI eksploderer / Nordic ledere,Norwegian,2026-01-14,Audun Kvitland Røstad,,"Apple-Google samarbeid, kreativ AI, nordisk AI-ledelse",4,God norsk dekning av viktige AI-partnerskap; nordisk perspektiv er verdifullt.,,https://podcasts.apple.com/us/podcast/ai-snakk/id1817215754
Heis,Ep 9 – Nils Brede Moe om AI-paradokset / autonomi / læringskultur,Norwegian,2026-01-19,Truls og Audun,Nils Brede Moe (SINTEF Digital),"AI paradox, why AI projects fail, learning culture, team AI adoption",5,SINTEF-forsker med unik analyse av hvorfor 95% av AI-prosjekter ikke gir målbar verdi — svært relevant for norske virksomheter,,https://heis.fm/
AI Forklart,AI-slop: Når AI lager innhold som bare fyller internett,Norwegian,2026-01-20,"Niclas Kvanvig, Celine Haaland-Johansen",,"AI-generated content, content quality, internet pollution",4,Kritisk blikk på lavkvalitets AI-innhold og konsekvenser for informasjonskvalitet,,https://podcasts.apple.com/no/podcast/ai-forklart/id1868744798
Gradient Dissent (W&B),What a $42B Software Co. Really Spends on AI Tools,English,2026-01-20,Lukas Biewald,Mike Cannon-Brookes (Co-Founder Atlassian),"Enterprise AI adoption, AI tools ROI, software company AI strategy",4,"Insights from Atlassian's co-founder reveal the real expenditures associated with AI technologies and discuss large-scale adoption strategies, offering valuable perspectives for businesses exploring AI integration.",,https://open.spotify.com/show/7o9r3fFig3MhTJwehXDbXm
The Artificial Intelligence Show,Ep 191 – Ads in ChatGPT / Claude Cowork / Elon vs. OpenAI / Gemini Personal Intelligence,English,2026-01-20,"Paul Roetzer, Mike Kaput",,"Claude Cowork agent, ChatGPT ads, entry-level job replacement, AI at work",4,Discusses significant advancements in agentic AI while providing relevant business insights.,,https://podcast.smarterx.ai/shownotes/191
The Implement AI Podcast,Best Of – The State of AI: What Business Leaders Must Understand Now,English,2026-01-20,"Piers Linney, Dr. Aalok Y. Shukla",,"AI adoption, business AI, digital workers, enterprise AI strategy",4,A solid 68-minute compilation episode featuring key AI insights for leaders — a great introduction to the podcast's perspectives.,,https://shows.acast.com/the-ai-assisted-organisation-with-implement-ai
AI-Snakk,Ep 35 – GPT-5.2 Løser 30 År Gammelt Matematikkproblem,Norwegian,2026-01-21,Audun Kvitland Røstad,,"GPT-5.2, kunstig intelligens, matematikk, kinesisk AI-utvidelse",5,En solid episode som belyser et viktig AI-milestone med god kontekstualisering av det matematiske problemet.,,https://podcasts.apple.com/us/podcast/ai-snakk/id1817215754
No Priors,US Dept. of War & AI,English,2026-01-22,"Sarah Guo, Elad Gil",Emil Michael (US DoD),"Military AI, US strategic AI advantage, defense AI",4,High-level government perspective on AI and defense,,https://podcasts.apple.com/us/podcast/no-priors-artificial-intelligence-technology-startups/id1668002688
The Artificial Intelligence Show,"#192: AI Answers -  Responsible AI Adoption, Agency Transformation, Rethinking Workflows, Data Privacy, & Leadership in the Age of AI Agents",English,2026-01-22,"Paul Roetzer, Cathy McPhillips",,"Responsible AI adoption, data privacy, workflow transformation, AI leadership",4,"Providing a weekly update on AI, this conversation focuses on the business implications of responsible AI practices and the evolving role of leadership in AI-driven environments.",,https://podcast.smarterx.ai/
The AI Daily Brief,How Pros Are Vibe Coding in 2026,English,2026-01-26,Nathaniel Whittemore (NLW),,"Vibe coding in practice, AI coding tools, autonomous agent swarms",5,Dedicated vibe coding episode with strong practical focus; early Q1 2026 coverage,vibe,https://podcasts.apple.com/us/podcast/the-ai-daily-brief-artificial-intelligence-news/id1680633614
AI Forklart,Det rundt spørsmålet: Valgene som gir bedre svar,Norwegian,2026-01-27,"Niclas Kvanvig, Celine Haaland-Johansen",,"Prompting, language model settings, AI response quality",4,Praktiske tips for å få bedre svar fra språkmodeller — nyttig for norske AI-brukere,,https://podcasts.apple.com/no/podcast/ai-forklart/id1868744798
The Artificial Intelligence Show,"#193: AGI Talk at Davos, Amazon Layoffs, AI for Course Creation, OpenAI Cybersecurity Warning, New Claude Constitution & Credit-Based AI Pricing",English,2026-01-27,"Paul Roetzer, Mike Kaput",,"AGI timelines, Amazon layoffs, Claude Constitution, AI economic impact",4,"A weekly AI news roundup with a focus on business implications, covering key developments and trends in the industry.",,https://podcast.smarterx.ai/
Win-Win with Liv Boeree,#52 – Will MacAskill – What Comes AFTER Superintelligent AI?,English,2026-01-27,Liv Boeree,Will MacAskill,"post-AGI futures, superintelligence, AI governance, existential risk, long-termism",5,"MacAskill and Boeree explore scenarios beyond superintelligence, providing a deep discussion with one of the leading thinkers in the field.",,https://www.winwinpodcast.com/p/52-will-macaskill-what-comes-after
AI-Snakk,Ep 36 – Google knuser Nvidia / Kina mobiliserer / AI og demokratiet,Norwegian,2026-01-28,Audun Kvitland Røstad,,"AI chip competition, China AI strategy, AI and democracy",4,Important geopolitical AI angle; well-covered for Norwegian audience,,https://podcasts.apple.com/us/podcast/ai-snakk/id1817215754
The Artificial Intelligence Show,"#194: Agentic AI Timelines, Generalists vs. Specialists, Resume Tips, AI Learning Ownership, & Handling Model Updates",English,2026-01-29,"Paul Roetzer, Cathy McPhillips",,"Agentic AI timelines, generalists vs specialists, AI workforce skills",4,"An insightful business-focused discussion unfolds around the evolving landscape of AI, exploring important topics like Agentic AI timelines and the debate between generalists and specialists in the workforce. Valuable resume building tips and strategies for adapting to AI changes further enhance the usefulness of the conversation for professionals in the field.",,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/traffic.megaphone.fm/FPMN6973296186.mp3
Teknologi og mennesker,De viktigste teknologitrendene 2026 m/Gartner og Deloitte,Norwegian,2026-01-13,Christian Brosstad,"Tor Kramvik Sivertsen (Deloitte), Erik Lehne (Gartner)","fysisk AI, roboter, AI-agenter, hybrid infrastruktur, domene-spesifikke LLM-er, cybersikkerhet",5,Starke gjester fra Gartner og Deloitte gir verdifulle perspektiver på AI-trender for 2026 med en norsk tilnærming.,,https://podcasts.apple.com/no/podcast/de-viktigste-teknologitrendene-2026-m-gartner-og-deloitte/id1448709858?i=1000744927768
Teknologi og mennesker,Slik endrer AI-agentene jobben din,Norwegian,2026-01-20,Christian Brosstad,"Stian Lundquist (Microsoft), Christoffer Besler Hansen (Atea)","AI agents, agentic AI, governance, implementation challenges, workflow automation",5,God og praksisnær gjennomgang av AI-agenter og hva de betyr for arbeidslivet — relevant for norske virksomheter,agents,https://podcasts.apple.com/no/podcast/slik-endrer-ai-agentene-jobben-din/id1448709858?i=1000745838273
