Podcast Name,Episode Title,Language,Published Date,Host(s),Guest(s),Main Topic(s),Rating (1-6),Rating Notes,Tags,Platform / Link,Description
Latent Space,"Shopify’s AI Phase Transition: 2026 Usage Explosion, Unlimited Opus-4.6 Token Budget, Tangle, Tangent, SimGym — with Mikhail Parakhin, Shopify CTO",English,2026-04-22,,,,0,,,https://www.latent.space/p/shopify,"A rare interview with Shopify's CTO on -everything- that Shopify is doing to maximize AI for their customers, with exclusive data on their own AI adoption."
Latent Space,[AINews] OpenAI launches GPT-Image-2,English,2026-04-22,,,,0,,,https://www.latent.space/p/ainews-openai-launches-gpt-image,with Cursor getting a $10B contract with xAI and a right to acquire for $60B.
Latent Space,AIE Europe Debrief + Agent Labs Thesis: Unsupervised Learning x Latent Space Crossover Special (2026),English,2026-04-23,,,,0,,,https://www.latent.space/p/unsupervised-learning-2026,"Note: This episode was recorded just after AIE Europe, but before the Cursor-xAI deal."
Latent Space,[AINews] Tasteful Tokenmaxxing,English,2026-04-23,,,,0,,,https://www.latent.space/p/ainews-tasteful-tokenmaxxing,a quiet day lets us reflect on the top conversation that AI leaders are having everywhere.
Latent Space,[AINews] GPT 5.5 and OpenAI Codex Superapp,English,2026-04-24,,,,0,,,https://www.latent.space/p/ainews-gpt-55-and-openai-codex-superapp,Spud lives!
Latent Space,"[AINews] DeepSeek V4 Pro (1.6T-A49B) and Flash (284B-A13B), Base and Instruct — runnable on Huawei Ascend chips",English,2026-04-25,,,,0,,,https://www.latent.space/p/ainews-deepseek-v4-pro-16t-a49b-and,The prodigal Tiger returns... but is no longer the benchmarks leader.
Hard Fork (NYT),Tim Cook’s Legacy + The Future of U.B.I. With Andrew Yang + HatGPT,English,2026-04-24,,,,0,,,https://www.nytimes.com/column/hard-fork,"This week, Tim Cook announced he would step down as chief executive of Apple. We discuss what he got right and what he got wrong, and we offer some unsolicited advice for his replacement, John Ternus. Then, Andrew Yang joins us to discuss A.I.-powered job automation and why universal basic income may be making a comeback. And finally, we catch up on more recent tech news with a round of HatGPT. Guest: Andrew Yang , chief executive of Noble Mobile and author of “Hey Yang, Where’s My Thousand Bucks?” Additional Reading: Tim Cook Will Step Down as Apple C.E.O. Who Is John Ternus, Apple’s Low-Prof"
The Cognitive Revolution,Does Learning Require Feeling? Cameron Berg on the latest AI Consciousness & Welfare Research,English,2026-04-23,,,,0,,,https://www.cognitiverevolution.ai/does-learning-require-feeling-cameron-berg-on-the-latest-ai-consciousness-welfare-research/,"Cameron Berg returns to discuss the latest research on AI consciousness and model welfare. He breaks down new evidence for model introspection, including studies showing that systems can detect interventions on their own internal states and sometimes resist them. They also examine Anthropic's work on functional emotions, the implications of Claude's welfare reports, and Berg's new ideas about how reinforcement learning may shape positive and negative experience. The conversation makes the case for a more precautionary, mutualist approach to advanced AI systems. Sponsors: Roboflow: Roboflow is "
Practical AI,The mythos of Mythos and Allbirds takes flight to the neocloud,English,2026-04-23,,,,0,,,https://share.transistor.fm/s/b11bd219,"In this Fully-Connected episode, Dan and Chris start with Anthropic's Mythos frontier model, parsing what is publicly known about its cybersecurity capabilities and projecting its possible implications from "" We've been here before. 🙄 "" to ""See ya, cybersecurity! 😱 "" It's the end of the world as we know it, and I feel fine. 🙃 Then they have fun with the craziest AI announcement of the year (except for the Mythos one of course). Allbirds pivots from shoe manufacturing 👟 to neocloud provider ☁️. No, we didn't see that one coming either! 🙈 They finish with rise of “tokenmaxxing” - the gamificatio"
The AI Breakdown (Andy Dumbell),AI Weekly Briefing: Anthropic’s Big Week Gets Expensive Fast,English,2026-04-22,,,,0,,,https://theaibreakdown.podbean.com/e/ai-weekly-briefing-anthropic-s-big-week-gets-expensive-fast/,"Anthropic had one of its strongest product weeks in months, and one of its most awkward trust weeks at the same time. You get the details behind Claude Opus 4.7, Claude Code Routines, and Claude Design, but also the less cheerful part: how a new tokenizer, reduced default effort, and usage-based pricing changes could make Claude more expensive and less predictable for enterprise teams. The sharpest idea in this week’s roundup is that Routines may matter more than the model release itself. Once Claude can run saved coding setups on Anthropic’s own infrastructure, this stops being just a better "
The Journal (WSJ),Cybersecurity Braces for AI ‘Bugmaggedon’,English,2026-04-21,,,,0,,,https://pdst.fm/e/traffic.megaphone.fm/WSJ9474056191.mp3?updated=1776803263,"AI models like Anthropic's Mythos are finding software bugs at an unprecedented rate, kicking off a cybersecurity scramble to prevent what experts are calling “bugmageddon.” Thanks to these new models, hackers will be able to exploit those bugs more quickly than ever before. WSJ’s Robert McMillan explains why major corporations and the White House are scrambling to patch their systems. Jessica Mendoza hosts. Further Listening: - The Battle Over AI in Warfare - AI Is Coming for Entry-Level JobsSign up for WSJ’s free What’s News newsletter. Learn more about your ad choices. Visit megaphone.fm/ad"
The Journal (WSJ),How China Keeps Iran's Oil Industry Afloat,English,2026-04-22,,,,0,,,https://pdst.fm/e/traffic.megaphone.fm/WSJ8945323384.mp3?updated=1776889595,"Get your tickets to our L.A. live show here!In the first Trump administration, the U.S. launched a “maximum pressure” campaign to cut Iranian oil from the global market and eliminate Tehran’s biggest source of revenue. Today, Iran sells billions of dollars’ worth of oil every month via a shadow fleet of ships that have been passing through the Strait of Hormuz. WSJ’s Rory Jones takes us inside Iran’s underground network for shipping, processing and selling oil in China. Ryan Knutson hosts. Further Listening: - How Iran's Regime Changed... for the Worse - The Strait of Hormuz Showdown - In Iran"
The Journal (WSJ),Tim Cook Built the Apple Empire. What's Next for His Successor?,English,2026-04-23,,,,0,,,https://pdst.fm/e/traffic.megaphone.fm/WSJ1546111707.mp3?updated=1776977026,"After 15 years as the CEO of Apple, Tim Cook announced this week that he will be stepping down. During his tenure, Cook quadrupled Apple’s revenue and transformed the company’s supply chain, building a complex global network that churns out hundreds of millions of devices each year. WSJ’s Rolfe Winkler reports on Cook’s legacy, and the new guy that’s set to replace him. Ryan Knutson hosts. Further Listening: - China and the U.S. Are in a Race for AI Supremacy - The Company Taking on Apple’s Watch Technology Sign up for WSJ’s free What’s News newsletter. Learn more about your ad choices. Visit "
The Journal (WSJ),The Crypto President: Part 1,English,2026-04-24,,,,0,,,https://pdst.fm/e/traffic.megaphone.fm/WSJ6340890607.mp3?updated=1777063723,"At the height of Donald Trump’s presidential campaign for re-election in 2024, Trump gathered with his sons and longtime friend Steve Witkoff to launch a new money machine: a crypto company called World Liberty Financial. Since its launch less than two years ago, the company has earned the Trump family at least $1.2 billion dollars. It turns out much of that has come from secret business dealings with foreign-owned companies. In the first of two episodes diving into World Liberty Financial, WSJ’s Angus Berwick explains how a billionaire felon boosted Trump’s crypto company en route to a presid"
Today Explained (Vox),TMZ Goes to Washington,English,2026-04-21,,,,0,,,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pscrb.fm/rss/p/mgln.ai/e/257/traffic.megaphone.fm/VMP5597063143.mp3?updated=1776792732,"The celebrity tabloid outlet is turning its attention to DC and supercharging a new era of political reporting. This episode was produced by Kelli Wessinger, edited by Amina Al-Sadi with help from Jolie Myers, fact-checked by Gabriel Dunatov, engineered by David Tatasciore, and hosted by Noel King. TMZ Founder and Executive Producer Harvey Levin displayed at a TMZ launch party. Photo by Gabe Ginsberg/Getty Images. Further reading: TMZ gets political by Paula Mejía for The New Yorker. Listen to Today, Explained ad-free by becoming a Vox Member: vox.com/members. New Vox members get $20 off their"
Today Explained (Vox),100 days of Mayor Mamdani,English,2026-04-22,,,,0,,,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pscrb.fm/rss/p/mgln.ai/e/257/traffic.megaphone.fm/VMP9290641309.mp3?updated=1776886310,"New York City Mayor Zohran Mamdani's success may speak to a major shift among liberals on Israel and populism. If the Democratic Party will listen. This episode was produced by Ariana Aspuru, edited by Amina Al-Sadi with help from Miranda Kennedy, fact checked by Gabriel Dunatov, engineered by David Tatasciore, and hosted by Sean Rameswaram. New York City Mayor Zohran Mamdani speaks to supporters during his 100-day address. Photo by Ryan Murphy/Getty Images. Listen to Today, Explained ad-free by becoming a Vox Member: vox.com/members. New Vox members get $20 off their membership right now. Tra"
Today Explained (Vox),When your college closes,English,2026-04-23,,,,0,,,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pscrb.fm/rss/p/mgln.ai/e/257/traffic.megaphone.fm/VMP9647620594.mp3?updated=1776968865,"Hampshire College's closure is the latest sign of a death spiral in American higher education. This episode was produced by Dustin DeSoto, edited by Avishay Artsy, fact checked by Gabriel Dunatov, engineered by David Tatasciore, and hosted by Sean Rameswaram. The campus of Hampshire College in Amherst, Mass. AP Photos/Leah Willingham. Listen to Today, Explained ad-free by becoming a Vox Member: vox.com/members. New Vox members get $20 off their membership right now. Transcript at ⁠vox.com/today-explained-podcast.⁠ Learn more about your ad choices. Visit podcastchoices.com/adchoices"
Today Explained (Vox),“Having kids was a mistake”,English,2026-04-24,,,,0,,,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pscrb.fm/rss/p/mgln.ai/e/257/traffic.megaphone.fm/VMP1733172535.mp3?updated=1777051576,"They thought they would learn to love parenthood. They were wrong. This episode was produced by Miles Bryan, edited by Jolie Myers, fact-checked by Gabriel Dunatov, engineered by David Tatasciore, and hosted by Sean Rameswaram. Photo by Tomohiro Ohsumi/Getty Images. Listen to Today, Explained ad-free by becoming a Vox Member: vox.com/members. New Vox members get $20 off their membership right now. Transcript at ⁠vox.com/today-explained-podcast.⁠ Learn more about your ad choices. Visit podcastchoices.com/adchoices"
AI-Snakk,AI tar over PC-en din – og tre giganter slår seg sammen,Norwegian,2026-04-22,,,,0,,,https://podcasters.spotify.com/pod/show/ai-snakk/episodes/AI-tar-over-PC-en-din--og-tre-giganter-slr-seg-sammen-e3iact0,"Denne uken skjedde noe uvanlig: OpenAI, Anthropic og Google – tre av de største rivalene i kunstig intelligens – begynte å dele hemmelig sikkerhetsinformasjon med hverandre. Hvorfor? Svaret forteller oss noe viktig om retningen AI-kappløpet tar i 2026. Vi ser også på GPT-5.4, kodenavnet «Franklin», og et nytt verktøy fra OpenAI som kan styre alle applikasjoner på datamaskinen din autonomt – uten at du trenger å klikke. Og Equinor rapporterer milliardgevinster fra prediktiv AI som viser at teknologien nå er en reell økonomisk driver for norsk tungindustri, ikke bare et fremtidslaboratorium. I t"
Shifter,"Andreas Thorsheim om Otovo-reisen og om ""status quo"" for gründermiljøet i Norge",Norwegian,2026-04-21,,,,0,,,https://shows.acast.com/shifter-30/episodes/andreas-thorsheim-om-otovo-reisen-og-om-status-quo-for-grund,"Etter ti år som gründer og toppleder i Otovo gir Andreas Thorsheim seg i selskapet han selv var med på å starte. I denne episoden forteller han om beslutningen, hva som egentlig lå bak avgangen – og hvordan det føles etter et tiår med vekst, børs og internasjonal ekspansjon. Programleder: Mia Sandnes Nilsen, journalist i Shifter. 🔔 Husk å: – Kjøpe abonnement på Shifter.no for å støtte uavhengig journalistikk om tech og innovasjon – Melde deg på vårt nyhetsbrev og hold deg oppdatert på det viktigste innen startup- og teknologiverdenen – Tips oss gjerne om nyheter eller gode idéer Hosted on Acas"
E24-podden,Glem krigen? Nå er det børsrekordtid,Norwegian,2026-04-23,,,,0,,,https://flex2.acast.com/s/valebrokk-og-co/u/dd-vgtv.akamaized.net/e24/vod/2026/04/0v2cunstt0f8dqmys2a1e/podcast_128.mp3,"Wall Street har utradert krigstapene, og setter igjen stadig nye børsrekorder. Like optimistiske er ikke renteinvestorene. Har de amerikanske børsindeksene fått for mye Møllers tran? Hva skal til for å velte denne oppgangen? Med børskommentator i E24, Roar Valderhaug. Programleder Sindre Heyerdahl og produsent Erik Holm-Nyvold. Ansvarlig redaktør Lars Håkon Grønning. Hør E24-podden der du hører podkast. Analyser, nyheter og innsikt i business og næringsliv. E24-podden ble i mai 2025 kåret til årets aktualitetspodkast under Medieprisene i Bergen."
HR-podden,238: Når følelsene styrer - om emosjonell kompetanse på jobben med Aksel Inge Sinding,Norwegian,2026-04-22,,,,0,,,https://www.buzzsprout.com/1929646/episodes/19047122-238-nar-folelsene-styrer-om-emosjonell-kompetanse-pa-jobben-med-aksel-inge-sinding.mp3,"Vi tror vi tar rasjonelle beslutninger på jobb. Men hva om det egentlig er følelsene som styrer – i møterommet, i ledergruppen, i de vanskelige samtalene vi utsetter? Psykolog og forfatter Aksel Inge Sinding mener det er akkurat det som skjer. Og han har brukt 15 år på å gjøre psykologisk kunnskap om følelser tilgjengelig for arbeidslivet; konkret, forståelig og direkte anvendbart. Den gode nyheten er at du kan øve opp emosjonell kompetanse. Og det finnes konkrete verktøy som faktisk hjelper. Lytt og hør mer om: hvorfor vi tror vi er rasjonelle, men egentlig styres av følelsene våre hva primær"
Big Take Asia (Bloomberg),China’s Tech Grip Threatens India’s Manufacturing Ambitions,English,2026-04-21,,,,0,,,https://omny.fm/shows/the-big-take/china-s-tech-grip-threatens-india-s-manufacturing-ambitions,"India wants to become a manufacturing powerhouse to rival China &mdash; but its reliance on the Chinese supply chain for things like batteries and semiconductors makes for a complex and exceedingly difficult puzzle to untangle. On today's Big Take Asia Podcast, host Oanh Ha and Bloomberg&rsquo;s Alisha Sachdev on how corporate India is struggling to navigate this unique geopolitical landscape. Read more:&nbsp; China&rsquo;s Control Over Tech Is Threatening India&rsquo;s Manufacturing Dreams Further listening:&nbsp; Asia Is Bearing the Brunt of the Iran War Energy Crisis We have a special Bloom"
The Journal (WSJ),The Crypto President: Part 2,English,2026-04-25,,,,0,,,https://pdst.fm/e/traffic.megaphone.fm/WSJ5168066140.mp3?updated=1777141422,"Four days before Donald Trump’s second inauguration, an Emirati royal known as the “spy sheikh” secretly purchased a stake in Trump's cryptocurrency venture World Liberty Financial for half a billion dollars. In the second of two episodes about World Liberty Financial, WSJ’s Rebecca Ballhaus details what the Sheikh received from the Trump Administration following his deal with the Trump family’s crypto company. Hosted by Jessica Mendoza. Further Listening: - The Crypto President: Part 1 - Private Equity and Crypto Could Be Coming for Your 401k Sign up for WSJ’s free What’s News newsletter. Lea"
Today Explained (Vox),This Senator has an Eric Swalwell problem,English,2026-04-25,,,,0,,,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pscrb.fm/rss/p/mgln.ai/e/257/traffic.megaphone.fm/VMP6976292431.mp3?updated=1777067863,"We were set to talk to Arizona Sen. Ruben Gallego about solving our immigration crisis. Then Eric Swalwell resigned from Congress. This show was edited by Kasia Broussalian, fact checked by Esther Gim, mixed by Shannon Mahoney, video edited by Christopher Snyder, and hosted by Astead Herndon. Rep. Eric Swalwell and Sen. Ruben Gallego, D-Ariz. Photo By Tom Williams/CQ-Roll Call, Inc via Getty Images. You can also watch this episode on youtube.com/vox. Listen to Today, Explained ad-free by becoming a Vox Member: vox.com/members. New Vox members get $20 off their membership right now. Transcript "
