Podcast Name,Episode Title
Lex Fridman Podcast,#492 – Rick Beato: Greatest Guitarists of All Time, History & Future of Music
Lex Fridman Podcast,#493 – Jeff Kaplan: World of Warcraft, Overwatch, Blizzard, and Future of Gaming
Lex Fridman Podcast,#495 – Vikings, Ragnar, Berserkers, Valhalla & the Warriors of the Viking Age
No Priors,Our Burning Questions – Simulation Debate
No Priors,Things You Thought You Knew – Sonic BOOM!
No Priors,Exploring Hidden Dimensions with Brian Greene
No Priors,Told You So! with Matt Kaplan
No Priors,Project Hail Mary with Andy Weir
No Priors,Cosmic Queries – Origins of the Universe, with Janna Levin
No Priors,Secrets of Asteroid Bennu with Harold Connolly Jr.
The Journal (WSJ),U.S. and Israel Attack Iran
The Journal (WSJ),Camp Swamp Road Ep. 6: Your Side, Their Side and the Truth
The Journal (WSJ),What's Next for Iran?
The Journal (WSJ),Trump's Shifting Reasons for War With Iran
The Journal (WSJ),Will Gas Prices Go Up Because of the Iran War?
The Journal (WSJ),Inside the Nasty Fight to Take Over Hollywood
The Journal (WSJ),Fertility Inc.: When the Surrogate Gets Left With the Bill
The Journal (WSJ),Kristi Noem's $200 Million Mistake
The Journal (WSJ),The Global Scramble for Patriot Missiles
The Journal (WSJ),The Escalating Crisis at the Strait of Hormuz
The Journal (WSJ),Fertility Inc.: 'Our Money Was Gone'
The Journal (WSJ),The Ticketmaster Breakup Trial Just Got Messier
The Journal (WSJ),Big Banks vs. Big Crypto
The Journal (WSJ),How Gamblers Are Rigging College Basketball
The Journal (WSJ),Is Cuba on the Brink of Collapse?
The Journal (WSJ),Fertility Inc.: One Dad, One Hundred Babies
The Journal (WSJ),Americans Are Now a Target in Trump's Immigration Crackdown
The Journal (WSJ),Iran Thinks It's Winning the War
The Journal (WSJ),How ICE Went From Deport… to Airport
The Journal (WSJ),How Jeffrey Epstein Made Millions From His Connections
The Journal (WSJ),Fertility Inc.: The Embryo Editing Dinner
The Journal (WSJ),The New Legal Strategy That Beat Social Media
The Journal (WSJ),"Israel Wants ""Decisive Victory"" in Iran. Is It Succeeding?"
The Journal (WSJ),How Do You Refund $166 Billion?
The Journal (WSJ),The Adult Women Caught in Epstein's Web of Abuse
The Journal (WSJ),Is the High Over for Hemp Drinks?
The Journal (WSJ),Will the U.S.-Iran Cease-Fire Hold?
The Journal (WSJ),In Iran, an Uneasy Calm Amid a Cease-Fire
The Journal (WSJ),Can Burger King Regain Its Crown?
The Journal (WSJ),The Strait of Hormuz Showdown
Today Explained (Vox),The cult of abusive chefs
Today Explained (Vox),Nancy Pelosi explains her optimism
Today Explained (Vox),The book of Mormon influence
Today Explained (Vox),Attack of the drones
Today Explained (Vox),Meme warfare
Today Explained (Vox),Trump vs. DC
Today Explained (Vox),Me, my husband, our girlfriend
